model,k,distance_metric,weighted,TRAIN_MSE,TRAIN_RMSE,TRAIN_MAE,TRAIN_MAPE,TEST_MSE,TEST_RMSE,TEST_MAE,TEST_MAPE
KNN,5,manhattan,True,0.0,0.0,0.0,0.0,382954089.8599029,19569.212806342082,12401.565740785647,28.30803166498735
KNN,5,manhattan,False,51049.64796732086,225.94169152088966,77.87489953873222,3.0629189172165856,383061796.94492304,19571.96456528887,12409.883412051578,28.35246790000186
KNN,3,manhattan,True,0.0,0.0,0.0,0.0,384724446.72900915,19614.393865959995,12435.9624019617,28.447219092889476
KNN,3,manhattan,False,41385.46599206759,203.43418098261557,70.78946213360423,2.7537942412888157,384748556.95339364,19615.008461721183,12438.44436515634,28.46201642092992
KNN,9,manhattan,True,0.0,0.0,0.0,0.0,389584249.4132672,19737.88867668645,12518.338809558141,28.507744938567935
KNN,9,manhattan,False,64569.74938526484,254.10578384850834,85.22982014144425,3.375490239542769,389792849.4214273,19743.172222857887,12528.498276653254,28.552248664295014
KNN,1,manhattan,False,0.0,0.0,0.0,0.0,374666651.36092865,19356.30779257575,12377.924611919127,29.127954225757584
KNN,1,manhattan,True,0.0,0.0,0.0,0.0,374666651.36092865,19356.30779257575,12377.924611919127,29.127954225757584
KNN,9,euclidean,False,66940.73142886032,258.72906954739415,91.93713488519425,4.516946665500293,388011143.253782,19697.998458061214,12946.00472663528,32.947926642438254
KNN,9,euclidean,True,0.0,0.0,0.0,0.0,387939899.8606197,19696.189983360226,12953.082941084242,33.02436396714869
KNN,5,euclidean,False,55760.86473612466,236.137385299585,84.54878341894559,3.7075866983333934,381621717.82320386,19535.140588774986,12937.607731027138,33.672413809010735
KNN,5,euclidean,True,0.0,0.0,0.0,0.0,381681527.7913812,19536.67135904633,12943.84968848275,33.717779562388586
KNN,3,euclidean,False,45983.73502128299,214.43818461571388,75.3235320469492,3.217142618971066,388393724.4506832,19707.707234751666,13160.107381374692,35.06012891894122
KNN,3,euclidean,True,0.0,0.0,0.0,0.0,388446589.1086611,19709.0484069795,13163.00785560304,35.06418630327832
KNN,1,euclidean,False,0.0,0.0,0.0,0.0,400336229.35276693,20008.403968152157,13441.410700411177,36.0421647612763
KNN,1,euclidean,True,0.0,0.0,0.0,0.0,400336229.35276693,20008.403968152157,13441.410700411177,36.0421647612763
KNN,5,minkowski,False,59247.718011315,243.4085413688579,88.4170691309559,4.285859662220511,384952993.5581613,19620.21899873091,13575.389625200534,40.19600749352615
KNN,9,minkowski,False,69439.89041014045,263.5144975331347,98.0836130672553,5.121274605020535,393631185.05333316,19840.140751852876,13714.853992372053,40.3141982018039
KNN,5,minkowski,True,0.0,0.0,0.0,0.0,385182815.6342236,19626.074891180448,13595.05292850883,40.36995245520087
KNN,9,minkowski,True,0.0,0.0,0.0,0.0,393586789.2460428,19839.021882291545,13725.101575995419,40.43825274385116
KNN,3,minkowski,False,47473.18384238183,217.88341800692828,81.16487281495283,3.5447317976131063,389754571.9599491,19742.20281427453,13789.919279974738,41.92971964152584
KNN,3,minkowski,True,0.0,0.0,0.0,0.0,389969298.1847996,19747.640319410308,13808.545143886726,42.07958397940105
KNN,1,minkowski,False,0.0,0.0,0.0,0.0,405073521.91407853,20126.43838124566,14342.990812976162,45.558404906400256
KNN,1,minkowski,True,0.0,0.0,0.0,0.0,405073521.91407853,20126.43838124566,14342.990812976162,45.558404906400256
KNN,5,chebyshev,False,76782.66593836248,277.09685299252766,105.37736564207283,5.679549206635013,389530977.95261806,19736.53915843956,14258.653960639404,47.08617019594982
KNN,9,chebyshev,False,90984.39145629275,301.6361905612335,118.36346585028075,7.344896702184895,405812445.13922936,20144.787046261605,14562.589876493847,47.28193319199221
KNN,5,chebyshev,True,0.0,0.0,0.0,0.0,389683762.12924737,19740.409370862788,14287.02123826339,47.434611404482105
KNN,9,chebyshev,True,0.0,0.0,0.0,0.0,405358342.43617165,20133.512918419667,14568.09011203232,47.49452348751801
KNN,3,chebyshev,False,62400.04437536147,249.80000875772896,95.09213563131829,4.58241149590749,388415472.63405305,19708.258995508786,14371.788128368582,48.70212991008581
KNN,3,chebyshev,True,0.0,0.0,0.0,0.0,388544711.1599597,19711.53751385111,14394.820915547582,48.96636350199766
KNN,1,chebyshev,False,0.0,0.0,0.0,0.0,381343405.56797373,19528.015914781863,14477.621588317043,51.89335776279373
KNN,1,chebyshev,True,0.0,0.0,0.0,0.0,381343405.56797373,19528.015914781863,14477.621588317043,51.89335776279373
